,x,y,thickness,snr,mask,smb,surf_temp,base_temp,vx,vy,v,snr_pred,snr_pred_std
2191,-1684500,21000,1627.469,,2,303.93225,258.26212621771526,271.8403625488281,4.9478807,2.0649512,5.3614874,62.97073120170771,14.167998733795304
179,1710500,1236000,2508.0813,,2,78.44907,244.93583660441521,268.9767761230469,2.0106015,1.1537745,2.3181274,73.96662317837496,14.190545738611581
2192,810500,-1329000,3153.8005,,2,37.45946,243.6262380602333,270.510498046875,-7.14574,-5.5241017,9.032016,84.56293060406553,14.529725515330021
2991,2350500,-324000,1661.0923,,2,385.3371,254.00641478141705,265.0570373535156,7.7416487,-12.518335,14.718759,55.19162014567044,14.545450417634788
8838,2150500,696000,387.1749,,3,263.78357,267.00733685430237,271.20001220703125,762.1548,-416.63608,868.5998,24.227607329595326,14.602906771504065
4173,1410500,266000,2536.7678,,2,58.927433,243.89385537815238,270.898681640625,-0.5406979,11.663178,11.675705,75.57566899411255,14.3684204869887
7575,2080500,-744000,2999.3516,,2,162.80595,248.78760613591106,270.6545715332031,27.4135,-28.600193,39.61655,80.5104893284237,14.583758016648055
9107,-339500,-99000,1945.9049,,2,139.47595,245.61792401783288,269.431640625,1.0711393,1.1294587,1.5566041,65.98310709099107,14.600651616883042
1964,1405500,1686000,776.0376,,2,377.622,262.62296473464244,272.3705139160156,-1.3650497,14.419242,14.483711,50.7988884222827,14.451737744399251
4114,-84500,-544000,1.0,,2,300.10666,251.68703888839613,254.5219268798828,-5.0177517,5.2680564,7.275318,18.736820622556362,14.800699764304666
4435,1930500,1071000,1682.1283,,2,81.375885,248.93631682949587,266.49774169921875,2.5523589,1.7058556,3.0699315,59.039945293086994,14.761129345491023
4594,430500,161000,3003.0986,,2,31.23946,240.13335597041305,270.37841796875,-2.4367838,-0.563251,2.5010333,82.73761687587783,14.482598010735193
5631,-14500,-259000,1766.3066,,2,67.976,241.71529403569403,270.2433166503906,0.79274076,-2.7228322,2.8358865,64.4798184549108,14.426990968279467
4938,-49500,1661000,2364.9543,,2,74.529854,244.23795690495314,269.2372741699219,0.6611582,-0.833143,1.0636059,72.65417899365372,14.312531050831796
8391,1625500,966000,1424.0751,,2,77.64521,248.59004773402233,266.35284423828125,2.3526845,-8.109007,8.443407,54.111514051688644,14.212075920098364
5150,1460500,-119000,3045.8784,,2,34.639347,235.63990869861314,266.9163513183594,0.052606296,-0.84348565,0.84512454,80.02827052120497,14.57029081609484
6107,2015500,881000,1185.9945,,2,248.014,259.52279964042634,272.1899719238281,8.079189,-10.880469,13.552045,56.7890492890028,14.737559302069387
7093,-809500,-989000,2035.9055,,2,133.57338,260.09813429671055,271.58184814453125,17.400454,36.74865,40.66004,67.8965074123844,14.365792528290807
6932,1050500,971000,2939.767,,2,33.478775,237.89139324427646,268.1124267578125,1.424099,-1.1172845,1.810078,79.46158424266442,14.32970305374892
5004,455500,1796000,2243.5164,,2,122.816574,245.10459730822305,268.0191650390625,-0.33861452,0.12649626,0.36147076,69.75228028765632,14.604360491591198
3310,2370500,81000,1984.4982,73.158,2,278.8909,258.22922562178945,271.9172058105469,58.66721,12.539534,59.992344,66.94274603140302,14.451459452858789
3632,415500,-974000,0.02002064,,2,264.04388,251.57649288608542,251.19471740722656,34.77772,2.5901353,34.874043,13.95792966127857,14.827148693187507
8787,1140500,-1804000,2900.055,,2,160.68651,251.6363332640869,271.209716796875,-1.8060634,-15.51225,15.617035,80.9813351390737,14.361117794881395
3523,-574500,-1084000,806.519,,2,149.53516,263.2898017541838,272.4353332519531,6.7611947,3.2274394,7.492004,52.13029367923846,14.407347567470199
9360,-824500,-19000,2737.8445,,2,159.66777,252.0309855888632,271.359130859375,6.4698534,6.736725,9.340367,79.5289842677942,14.535184236079207
3992,2400500,-829000,318.43243,,2,524.66656,265.3646294530173,272.684326171875,187.62352,148.66689,239.38344,41.9722897278098,14.597271382559473
150,-1589500,-584000,215.19618,,3,1288.6715,263.60882141491413,269.45196533203125,-38.82134,77.11018,86.3312,17.97258033983843,14.210019007976964
389,1220500,-1814000,2879.5146,,2,171.9417,254.37985589846699,271.2971496582031,9.479354,-51.53959,52.40408,80.15750336896163,14.596975525058848
1557,1280500,-1154000,3547.4028,,2,40.203506,240.19458978541857,270.11041259765625,-2.5092468,-0.94621205,2.6817226,90.3649713338844,14.274008235264441
257,-284500,-664000,545.10016,,2,58.37665,262.94995795156177,272.2339782714844,-2.6562274,0.6526592,2.7352345,49.31823119761707,14.458813845589383
7504,-919500,-424000,2821.3723,,2,160.22165,256.4090872420055,270.748291015625,2.3619103,-2.38739,3.358311,80.43188735754057,14.31902677963832
160,710500,-669000,2390.771,75.889,2,18.275204,242.9792188114142,271.0148620605469,-10.245556,-7.326377,12.595524,73.68374163757032,14.545031199021077
9829,195500,486000,3411.9036,,2,41.501823,243.3519632099622,270.28948974609375,-1.6517903,7.3114214,7.495685,87.98279338580602,14.529004378967556
9466,-319500,71000,1427.895,,2,73.43446,247.73014227627135,267.5305480957031,-10.546075,-1.613492,10.668789,55.1885857054325,14.717118446673524
1740,790500,931000,3297.7148,,2,26.579708,237.38216943251146,270.28289794921875,-2.1191082,-0.07706877,2.1205091,86.76321435962917,14.214931289677612
6455,1155500,1796000,988.87146,,2,237.74095,258.92416362090995,272.3056335449219,3.6867583,12.636468,13.163302,53.82332393614234,14.44747566597908
489,725500,186000,2221.0952,,2,22.232658,237.7392763713488,262.0735168457031,-0.041820098,3.6286707,3.6289117,61.107292654279284,14.388742408309
